
# Surface 0 of 2 surfaces

# Curve title: "'FES.dat'  u 1:2:3"
# Contour 0, label:      -36
-1.16847  0.971024 -36 
-1.16858  0.958343 -36 
-1.16875  0.945662 -36 
-1.16897  0.932992 -36 
-1.16925  0.920352 -36 
-1.16957  0.907773 -36 
-1.16993  0.895304 -36 
-1.17032  0.88302 -36 
-1.17075  0.871019 -36 
-1.17118  0.859422 -36 
-1.17163  0.84836 -36 
-1.17207  0.837956 -36 
-1.17251  0.828301 -36 
-1.17295  0.819427 -36 
-1.17338  0.811291 -36 
-1.17382  0.803765 -36 
-1.1743  0.796643 -36 
-1.17482  0.789667 -36 
-1.17541  0.782557 -36 
-1.1761  0.775053 -36 
-1.17691  0.766947 -36 
-1.17785  0.75811 -36 
-1.17893  0.748494 -36 
-1.18015  0.738131 -36 
-1.18153  0.727107 -36 
-1.18305  0.715544 -36 
-1.18474  0.703573 -36 
-1.18657  0.691315 -36 
-1.18857  0.678875 -36 
-1.19074  0.666333 -36 
-1.19309  0.653756 -36 
-1.19561  0.641198 -36 
-1.19832  0.628715 -36 
-1.20121  0.616367 -36 
-1.20427  0.604225 -36 

-1.56714  1.14784 -36 
-1.5659  1.15981 -36 
-1.56457  1.17137 -36 
-1.56317  1.18239 -36 
-1.56174  1.19276 -36 
-1.5603  1.20237 -36 
-1.55885  1.21121 -36 
-1.55739  1.21932 -36 
-1.55588  1.22682 -36 
-1.55427  1.23393 -36 
-1.55249  1.2409 -36 
-1.55047  1.24801 -36 
-1.54815  1.25551 -36 
-1.54547  1.26358 -36 
-1.54242  1.27232 -36 
-1.53901  1.28174 -36 
-1.53525  1.29174 -36 
-1.53122  1.30216 -36 
-1.52699  1.31278 -36 
-1.52262  1.32338 -36 
-1.51819  1.33376 -36 
-1.51375  1.34374 -36 
-1.50933  1.35323 -36 
-1.50492  1.36217 -36 
-1.50049  1.37058 -36 
-1.49602  1.3785 -36 
-1.49142  1.38603 -36 
-1.48665  1.39325 -36 
-1.48164  1.40027 -36 
-1.47633  1.40715 -36 
-1.47068  1.41393 -36 
-1.46465  1.42064 -36 
-1.45819  1.42725 -36 
-1.45125  1.43371 -36 
-1.4438  1.43995 -36 
